id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
Tgc5Vh,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,NBEAL1,Wald ratio,1,0.239538046,0.047827896,5.49E-07
TTSGFu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,INPP5D,Wald ratio,1,-0.529239315,0.090486245,4.95E-09
TYEvJQ,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TMEM219,Wald ratio,1,0.455297757,0.074519793,9.98E-10
V9F6Jz,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,APOE,Wald ratio,1,0.363058465,0.038519618,4.29E-21
VwK5XW,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EARS2,Wald ratio,1,-0.225931606,0.048122616,2.67E-06
wdx9Br,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TBX6,Wald ratio,1,-0.151059066,0.025805924,4.81E-09
XCscrn,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,YPEL3,Wald ratio,1,-0.165869376,0.028336018,4.81E-09
xGyka8,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,ACE,Wald ratio,1,0.166035007,0.024139842,6.07E-12
XrclQn,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,C17orf107,Wald ratio,1,0.115960933,0.022269589,1.92E-07
xv9Xfp,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,DCAF7,Wald ratio,1,0.358566817,0.044274256,5.55E-16
Y2JXZl,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,LINC02210,Wald ratio,1,-0.044446216,0.008118405,4.38E-08
yJuzW2,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,EPHX2,Wald ratio,1,0.154818966,0.028383477,4.91E-08
ymgQCu,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,TAF6,Wald ratio,1,0.448709689,0.079810024,1.89E-08
ynttSa,ebi-a-GCST90027158,Alzheimer's disease || id:ebi-a-GCST90027158,FCER1G,Wald ratio,1,-0.363126321,0.063392071,1.01E-08
