"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95","exposure_tissue"
"32",32,"WGcF9P","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A","Wald ratio",1,-0.0748182937318973,0.0142847781983396,1.62657223355541e-07,"Fetal Cortex",-0.102816459000643,-0.0468201284631517,0.927912078451869,0.902292565963816,0.954259026191951,"LRRC37A-Fetal Cortex"
"33",33,"YfF9Dq","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A17P","Wald ratio",1,0.0823293311462977,0.0147231285626591,2.24680041436207e-08,"Fetal Cortex",0.0534719991634859,0.11118666312911,1.08581334310585,1.0549274525029,1.1176035027522,"LRRC37A17P-Fetal Cortex"
"34",34,"CDRohp","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","Metazoa_SRP","Inverse variance weighted",3,0.0472212978274977,0.00910955235049617,2.1751247090295e-07,"Fetal Cortex",0.0293665752205252,0.0650760204344702,1.04835398186981,1.02980202519701,1.06724015336057,"Metazoa_SRP-Fetal Cortex"
"35",35,"0VIWnb","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.107710200613958,0.0207233402606428,2.01953017271448e-07,"Adult Cortex",0.0670924537030981,0.148327947524818,1.11372494181023,1.06939434307141,1.15989321810671,"LACTB-Adult Cortex"
"36",36,"2ZJa6P","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PVR","Wald ratio",1,-0.167431906585173,0.0351987530889284,1.96727977570458e-06,"Adult Cortex",-0.236421462639473,-0.0984423505308734,0.845834211067752,0.789447881020178,0.906247935820757,"PVR-Adult Cortex"
"37",37,"3IxE4L","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CEACAM19","Wald ratio",1,0.201518252174134,0.0233966106337766,7.10870118038229e-18,"Adult Cortex",0.155660895331932,0.247375609016336,1.22325856398737,1.16842991586346,1.28066004991206,"CEACAM19-Adult Cortex"
"38",38,"7mAc76","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RITA1","Wald ratio",1,-0.14819342638937,0.0322612093965622,4.35771917266062e-06,"Adult Cortex",-0.211425396806632,-0.0849614559721081,0.862264314137761,0.80942966483809,0.918547688246865,"RITA1-Adult Cortex"
"39",39,"7ZUOgK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CR1","Wald ratio",1,0.194553807108346,0.0162649485042347,5.65052291470997e-33,"Adult Cortex",0.162674508040046,0.226433106176646,1.21476884432539,1.17665363605322,1.25411871423215,"CR1-Adult Cortex"
"40",40,"aokP2C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ACE","Wald ratio",1,-0.21748429143876,0.0271048671822787,1.02515222561689e-15,"Adult Cortex",-0.270609831116026,-0.164358751761494,0.804540242990242,0.762914103687143,0.848437588796021,"ACE-Adult Cortex"
"41",41,"AOqBRF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ATP8B3","Wald ratio",1,0.105878088361991,0.0203693316287598,2.01534432806963e-07,"Adult Cortex",0.0659541983696218,0.14580197835436,1.11168634074225,1.06817779176117,1.15696706084413,"ATP8B3-Adult Cortex"
"42",42,"b2eLeg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","BTNL2","Wald ratio",1,0.0842732118405911,0.0181658625199329,3.49933531826047e-06,"Adult Cortex",0.0486681213015226,0.11987830237966,1.08792608749735,1.04987186280797,1.12735964624455,"BTNL2-Adult Cortex"
"43",43,"bGyvOH","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN31","Wald ratio",1,0.0457296591589659,0.00939495472820339,1.13036052907681e-06,"Adult Cortex",0.0273155478916873,0.0641437704262445,1.04679138223889,1.02769203766077,1.06624568233865,"ZSCAN31-Adult Cortex"
"44",44,"BVvhhn","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTB-171A8.1","Wald ratio",1,0.0780501408663501,0.0102718838238616,2.99756042183483e-14,"Adult Cortex",0.0579172485715814,0.0981830331611188,1.08117686845587,1.05962730640893,1.10316468235004,"CTB-171A8.1-Adult Cortex"
"45",45,"c1hrru","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","STAG3","Wald ratio",1,-0.119169029787835,0.0193078741642312,6.74131545860874e-10,"Adult Cortex",-0.157012463149728,-0.0813255964259419,0.887657747479843,0.854693406579407,0.921893477351618,"STAG3-Adult Cortex"
"46",46,"GwgGyF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF603P","Wald ratio",1,0.0345140480759005,0.00758947654025038,5.42562307502505e-06,"Adult Cortex",0.0196386740570098,0.0493894220947912,1.03511656967011,1.01983278140444,1.05062940939207,"ZNF603P-Adult Cortex"
"47",47,"jgqYPo","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EARS2","Wald ratio",1,-0.0778459699731513,0.0165809105718987,2.66717275073628e-06,"Adult Cortex",-0.110344554694073,-0.0453473852522298,0.925106909812063,0.895525524609785,0.955665440083285,"EARS2-Adult Cortex"
"48",48,"jQHu2U","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SIGLEC11","Wald ratio",1,0.0955258306188076,0.0210901184483082,5.91481285752255e-06,"Adult Cortex",0.0541891984601235,0.136862462777492,1.10023724147567,1.05568431710878,1.14667042780864,"SIGLEC11-Adult Cortex"
"49",49,"jsRzd0","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","AC012146.7","Wald ratio",1,-0.133262770441092,0.0221253641856219,1.71132057583241e-09,"Adult Cortex",-0.176628484244911,-0.0898970566372731,0.8752350759824,0.83809109073624,0.914025273263525,"AC012146.7-Adult Cortex"
