"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95"
"74","6acIkP","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.1","Wald ratio",1,-0.105674989,0.019763643,8.95e-08,"Artery - Coronary",-0.14441172928,-0.06693824872,0.899717018489446,0.865531310103143,0.935252952620598
"75","7a0yUM","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.124928235,0.024924855,5.38e-07,"Artery - Coronary",0.0760755192,0.1737809508,1.133067135586,1.07904405962453,1.18979491364958
"76","8jRI0E","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CHRNE","Wald ratio",1,0.069340145,0.013512944,2.88e-07,"Artery - Coronary",0.04285477476,0.09582551524,1.07180071480658,1.04378629972727,1.10056701506817
"77","Bm1hFj","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.3","Wald ratio",1,-0.043143742,0.008019283,7.45e-08,"Artery - Coronary",-0.05886153668,-0.02742594732,0.957773707863594,0.942837308503391,0.972946729198592
"78","C9B0Ao","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NKAPL","Wald ratio",1,0.120150484,0.025636222,2.78e-06,"Artery - Coronary",0.06990348888,0.17039747912,1.12766653458256,1.07240467728316,1.18577607889496
"79","ckxV6g","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","C17orf107","Wald ratio",1,0.097472043,0.019186307,3.77e-07,"Artery - Coronary",0.05986688128,0.13507720472,1.10238062187747,1.0616952056312,1.14462515140441
"80","fv6Aif","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A4P","Wald ratio",1,0.042808023,0.008021389,9.46e-08,"Artery - Coronary",0.02708610056,0.05852994544,1.0437375020214,1.02745626351484,1.06027673567258
"81","GeiHqg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-707O23.1","Wald ratio",1,-0.048262592,0.008940896,6.74e-08,"Artery - Coronary",-0.06578674816,-0.03073843584,0.952883534628672,0.936330517208329,0.969729186306558
"82","gI2lCc","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NBEAL1","Wald ratio",1,0.105607183,0.021085998,5.49e-07,"Artery - Coronary",0.06427862692,0.14693573908,1.11138521974118,1.06638948218881,1.15827952853015
"83","gNdtUd","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EARS2","Wald ratio",1,0.135340342,0.030307876,7.99e-06,"Artery - Coronary",0.07593690504,0.19474377896,1.14492638458447,1.07889449920444,1.21499963813355
"84","HY7psW","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KANSL1-AS1","Wald ratio",1,-0.045625661,0.008129663,2e-08,"Artery - Coronary",-0.06155980048,-0.02969152152,0.955399538567015,0.940296713863267,0.970744941289668
"85","It7EQA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.107811704,0.023497423,4.47e-06,"Artery - Coronary",-0.15386665308,-0.06175675492,0.897796632030197,0.857386343217149,0.940111536486906
